mass,bin,nevt_ASYM,nevtup_ASYM,nevtdown_ASYM,nevtupup_ASYM,nevtdowndown_ASYM,nevtobs_ASYM,nevtobs_TOY,nevtobserr_TOY
0.21600000000000003,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8528703999999996,0.07892121599999999
0.21600000000000003,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9118527999999997,0.043472448
0.21600000000000003,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8931712000000003,0.032174016
0.218,Lxy3.1_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8859328,0.037431936
0.218,Lxy3.1_11.0_pt0_Inf_012isomu,2.9434755,5.0435940000000015,1.7815695,8.2027845,1.1728395,2.2718040000000004,3.1074189,0.0501395535
0.218,Lxy0.2_11.0_pt0_Inf_2isomu,1.9306,3.7233,1.0047,5.8312,0.5516,1.9109,3.1733351,1.92382714
0.218,Lxy0.2_11.0_pt0_Inf_012isomu,2.92545,5.0235,1.773,8.2149,1.182,2.27535,2.88574071,2.88574071
0.218,Lxy0.2_11.0_pt25_Inf_2isomu,1.9306,3.7233,1.0047,5.8312,0.5516,1.9109,1.92382714,1.92382714
0.218,Lxy0.2_11.0_pt25_Inf_012isomu,1.92075,3.7233,1.0047,5.8509,0.56145,1.92075,2.88574071,2.88574071
0.218,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.88484,0.048271800000000004
0.218,Lxy1.0_11.0_pt0_Inf_012isomu,2.9415,5.04,1.7802000000000002,8.2047,1.1721,2.2719,3.1319100000000004,0.0419301
0.218,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.8933,0.06994299999999999
0.218,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.927475,0.043554825
0.218,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.6284400000000003,0.06863179999999999
0.218,Lxy2.4_11.0_pt0_Inf_012isomu,2.9415,5.04,1.7802000000000002,8.2047,1.1721,2.2719,3.12942,0.055917900000000006
0.218,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,3.0034400000000003,0.05351040000000001
0.218,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.906025,0.0397209375
0.218,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.960352,0.059968127999999996
0.218,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9451647999999997,0.0651216
0.218,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9687232000000003,0.028420224
0.218,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.014208,0.043041792
0.218,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.865024,0.06841900799999999
0.218,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.0375744,0.029883456
0.22,Lxy3.1_11.0_pt0_Inf_012isomu,3.4799999999999995,5.768795999999999,2.168736,9.153095999999998,1.4817839999999998,2.4123360000000003,3.08135904,0.057627756
0.22,Lxy0.2_11.0_pt0_Inf_2isomu,1.9256,3.7119999999999997,0.9976,5.8464,0.5568,1.9256,3.4680519999999997,2.26562384
0.22,Lxy0.2_11.0_pt0_Inf_012isomu,3.48,5.7768,2.1924,9.1524,1.4616,2.436,3.39843576,3.39843576
0.22,Lxy0.2_11.0_pt25_Inf_2isomu,1.9256,3.7119999999999997,0.9976,5.8464,0.5568,1.9256,2.26562384,2.26562384
0.22,Lxy0.2_11.0_pt25_Inf_012isomu,1.9488,3.6888,1.0092,5.8464,0.5568000000000001,1.9140000000000001,3.39843576,3.39843576
0.22,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.8449400000000002,0.0815162
0.22,Lxy1.0_11.0_pt0_Inf_012isomu,3.4806,5.7696000000000005,2.169,9.1545,1.482,2.4135,3.2442599999999997,0.048956700000000006
0.22,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9521599999999997,0.05233580000000001
0.22,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.8759275,0.054054225
0.22,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.94488,0.0387658
0.22,Lxy2.4_11.0_pt0_Inf_012isomu,3.4803,5.7695625,2.168775,9.15435,1.4819625,2.41245,3.223243125,0.0166290975
0.22,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.7861599999999997,0.1430836
0.22,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,3.04033125,0.044091375
0.22,Lxy3.1_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.7613056,0.032096256000000004
0.22,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9400384,0.066458112
0.22,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9214144,0.027892224
0.22,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8528896,0.038422464
0.22,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8569408,0.05672928
0.22,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9799552000000005,0.037478976000000004
0.22,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8416384,0.020569536
0.222,Lxy3.1_11.0_pt0_Inf_2isomu,3.4799999999999995,5.768795999999999,2.168736,9.153095999999998,1.4817839999999998,2.391804,3.21078372,0.07345897199999997
0.222,Lxy3.1_11.0_pt0_Inf_012isomu,3.705,6.230328,2.1844680000000003,9.919025999999999,1.331577,2.4375195,3.357919305,0.05691398700000001
0.222,Lxy0.2_11.0_pt0_Inf_2isomu,3.4806,5.7696000000000005,2.169,9.1545,1.482,2.3928,3.16293,0.051895800000000006
0.222,Lxy0.2_11.0_pt0_Inf_012isomu,3.88485,6.4863,2.358,10.231649999999998,1.47195,2.4714,3.4115355000000003,0.07972965
0.222,Lxy0.2_11.0_pt25_Inf_2isomu,1.9218,3.7146,0.9984,5.8401000000000005,0.5631,1.9221,2.862168,0.02332506
0.222,Lxy0.2_11.0_pt25_Inf_012isomu,1.92465,3.7125,0.9999,5.84865,0.56385,1.92195,2.961225,0.03489111
0.222,Lxy1.0_11.0_pt0_Inf_2isomu,3.48635,5.76555,2.17945,9.1469,1.4707,2.3919,3.2506705,0.20316695
0.222,Lxy1.0_11.0_pt0_Inf_012isomu,3.896625,6.4747499999999985,2.346,10.22175,1.476375,2.4708750000000004,3.515625,0.29296875
0.222,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.97222,0.046972
0.222,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,3.1057875,0.08683245
0.222,Lxy2.4_11.0_pt0_Inf_2isomu,3.48635,5.76555,2.17945,9.1469,1.4707,2.3919,3.1907925,0.0481124
0.222,Lxy2.4_11.0_pt0_Inf_012isomu,3.896625,6.4747499999999985,2.346,10.22175,1.476375,2.4708750000000004,3.56415,0.061445625
0.222,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,3.04176,0.0488832
0.222,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,3.07655625,0.10068375
0.222,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9579328,0.028252992
0.222,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8787136,0.04547712
0.222,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8955136,0.042234048
0.222,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.0246528,0.06450297599999999
0.222,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.1292352,0.19557696
0.222,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8928447999999998,0.16349760000000002
0.22399999999999998,Lxy3.1_11.0_pt0_Inf_2isomu,3.4799999999999995,5.768795999999999,2.168736,9.153095999999998,1.4817839999999998,2.405028,3.28801884,0.096051132
0.22399999999999998,Lxy3.1_11.0_pt0_Inf_012isomu,3.885,6.4867845,2.3581950000000003,10.2218235,1.4720265,2.6973555,3.668539455,0.09222912299999997
0.22399999999999998,Lxy0.2_11.0_pt0_Inf_2isomu,3.4806,5.7696000000000005,2.169,9.1545,1.482,2.406,3.2421,0.067026
0.22399999999999998,Lxy0.2_11.0_pt0_Inf_012isomu,4.44735,7.17705,2.8224,11.0817,1.91115,2.74635,4.23729,0.14124285
0.22399999999999998,Lxy0.2_11.0_pt25_Inf_2isomu,1.9218,3.7146,0.9984,5.8401000000000005,0.5631,1.9221,2.941146,0.0501132
0.22399999999999998,Lxy0.2_11.0_pt25_Inf_012isomu,1.92465,3.7125,0.9999,5.84865,0.56385,1.92195,2.9111849999999997,0.048492000000000014
0.22399999999999998,Lxy1.0_11.0_pt0_Inf_2isomu,3.48635,5.76555,2.17945,9.1469,1.4707,2.4052,3.2036480000000003,0.0663159
0.22399999999999998,Lxy1.0_11.0_pt0_Inf_012isomu,4.453125,7.168875,2.826,11.077125,1.913625,2.74575,3.4324800000000004,0.07105275
0.22399999999999998,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.99646,0.0520076
0.22399999999999998,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.9047275000000004,0.041055975
0.22399999999999998,Lxy2.4_11.0_pt0_Inf_2isomu,3.48635,5.76555,2.17945,9.1469,1.4707,2.4052,3.2489695000000003,0.28150745
0.22399999999999998,Lxy2.4_11.0_pt0_Inf_012isomu,4.44735,7.17705,2.8224,11.0817,1.91115,2.74635,3.6805095,0.05842080000000001
0.22399999999999998,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9152400000000003,0.035391000000000006
