mass,stheta_sq,ctau,BRbrULobs,BRULobs,theta_sq_inflaton,BRULobs_inflaton,BRtheory,excl
2.46,4.3918723925683323e-08,8.0,3.246688733465844e-10,1.04030653981525e-08,1.539801001731071e-07,2.9180007455264156e-09,4.5295914500883706e-07,True
2.46,3.513497914054666e-08,10.0,2.7939667527020647e-10,8.952450091387592e-09,1.231840801384857e-07,2.5111113927627806e-09,3.6236731600706975e-07,True
2.46,1.756748957027333e-08,20.0,2.069762640845136e-10,6.6319496197528835e-09,6.159204006924285e-08,1.860224192973862e-09,1.8118365800353487e-07,True
2.46,7.026995828109332e-09,50.0,3.1087823746672803e-10,9.961184766167478e-09,2.463681602769713e-08,2.7940557385292503e-09,7.247346320141391e-08,True
2.46,4.391872392568333e-09,80.0,4.3590869714362876e-10,1.3967420520684573e-08,1.5398010017310713e-08,3.9177821086923695e-09,4.529591450088372e-08,True
2.46,3.513497914054666e-09,100.0,5.213604758105483e-10,1.6705473086972468e-08,1.2318408013848568e-08,4.685790298964586e-09,3.623673160070697e-08,True
2.48,3.4274208406366213e-06,0.1,2.538466731321691e-06,8.271246729428145e-05,1.2108327071711467e-05,2.3023729527608163e-05,3.529685685687086e-05,True
2.48,1.7137104203183106e-06,0.2,5.728645130039825e-07,1.866600681082225e-05,6.054163535855735e-06,5.195844184454355e-06,1.7648428428435433e-05,True
2.48,6.854841681273244e-07,0.5,4.577625795953642e-08,1.491556770319133e-06,2.421665414342294e-06,4.151877072257856e-07,7.059371371374173e-06,True
2.48,3.427420840636622e-07,1.0,4.666352360307592e-08,1.5204671080505986e-06,1.210832707171147e-06,4.232351493860207e-07,3.5296856856870864e-06,True
2.48,4.284276050795777e-07,0.8,6.717827374494637e-08,2.1889121891788976e-06,1.5135408839639336e-06,6.09302610016857e-07,4.412107107108858e-06,True
2.48,1.713710420318311e-07,2.0,5.399400555282236e-09,1.759320838547997e-07,6.054163535855734e-07,4.897221478703776e-08,1.7648428428435432e-06,True
2.48,6.854841681273244e-08,5.0,6.584345778814193e-10,2.1454190364781785e-08,2.421665414342294e-07,5.9719591538131255e-09,7.059371371374172e-07,True
2.48,4.2842760507957775e-08,8.0,3.4047581004117637e-10,1.1093938697341931e-08,1.5135408839639336e-07,3.08809363713813e-09,4.412107107108858e-07,True
2.48,3.427420840636622e-08,10.0,2.8398306315555747e-10,9.253199789289355e-09,1.210832707171147e-07,2.575708066542567e-09,3.529685685687086e-07,True
2.48,1.713710420318311e-08,20.0,1.964492856740168e-10,6.401031345341635e-09,6.054163535855734e-08,1.781782350519688e-09,1.764842842843543e-07,True
2.48,6.854841681273244e-09,50.0,2.8907133851325497e-10,9.418994284019145e-09,2.4216654143422937e-08,2.621858395854397e-09,7.059371371374173e-08,True
2.48,4.2842760507957775e-09,80.0,4.034732789592899e-10,1.3146625078147465e-08,1.5135408839639336e-08,3.65947661702826e-09,4.412107107108858e-08,True
2.48,3.427420840636622e-09,100.0,4.816409622276172e-10,1.5693612149526154e-08,1.2108327071711469e-08,4.368452462629618e-09,3.5296856856870866e-08,True
2.5,3.341343767218577e-06,0.1,1.87971919246293e-06,6.230105159596903e-05,1.1898246129574372e-05,1.7206520619710233e-05,3.436704364869957e-05,True
2.5,1.6706718836092887e-06,0.2,9.504820173218896e-07,3.150259328076716e-05,5.949123064787186e-06,8.700495528954068e-06,1.7183521824349784e-05,True
2.5,6.682687534437155e-07,0.5,5.249796231669813e-08,1.7399823718831076e-06,2.3796492259148746e-06,4.805543693531508e-07,6.8734087297399145e-06,True
2.5,3.3413437672185776e-07,1.0,2.0183529729251887e-08,6.689590296746917e-07,1.1898246129574373e-06,1.847554261601529e-07,3.4367043648699573e-06,True
2.5,4.176679709023222e-07,0.8,2.761781764364414e-08,9.15359639292862e-07,1.4872807661967965e-06,2.5280720155552254e-07,4.295880456087446e-06,True
2.5,1.6706718836092888e-07,2.0,4.758858114799019e-09,1.5772667861071305e-07,5.949123064787186e-07,4.356150142366518e-08,1.7183521824349786e-06,True
2.5,6.682687534437157e-08,5.0,6.227342874540102e-10,2.063978552159005e-08,2.3796492259148746e-07,5.7003675871598585e-09,6.873408729739914e-07,True
2.5,4.176679709023222e-08,8.0,3.253731758097661e-10,1.0784105995911044e-08,1.4872807661967966e-07,2.9783918157135876e-09,4.2958804560874466e-07,True
2.5,3.3413437672185786e-08,10.0,2.718765010465722e-10,9.011022490673463e-09,1.1898246129574373e-07,2.488695460486857e-09,3.436704364869957e-07,True
2.5,1.6706718836092893e-08,20.0,1.9523860587582967e-10,6.470950824446086e-09,5.9491230647871864e-08,1.787169653443964e-09,1.7183521824349786e-07,True
2.5,6.682687534437156e-09,50.0,2.851911279678947e-10,9.452319926020449e-09,2.3796492259148746e-08,2.610574517520533e-09,6.873408729739914e-08,True
2.5,4.176679709023222e-09,80.0,3.9739245915641656e-10,1.31710992796288e-08,1.4872807661967966e-08,3.637639903879997e-09,4.2958804560874465e-08,True
2.5,3.341343767218578e-09,100.0,4.742380778364307e-10,1.5718055693918927e-08,1.1898246129574373e-08,4.341067164533521e-09,3.436704364869957e-08,True
2.52,3.255266693800533e-06,0.1,3.483180309927923e-07,1.1746531289674892e-05,1.1677672661104054e-05,3.222227962188265e-06,3.341735931027571e-05,True
2.52,1.6276333469002666e-06,0.2,1.8880850244091493e-07,6.367298802641541e-06,5.838836330552027e-06,1.7466337712405035e-06,1.6708679655137854e-05,True
2.52,6.510533387601068e-07,0.5,6.494475969425781e-08,2.1901698561932964e-06,2.3355345322208107e-06,6.00792385303663e-07,6.683471862055141e-06,True
2.52,3.255266693800534e-07,1.0,1.904319686883972e-08,6.422047897942255e-07,1.1677672661104054e-06,1.761652167857515e-07,3.3417359310275706e-06,True
2.52,4.069083367250666e-07,0.8,2.874371407688336e-08,9.693409664243471e-07,1.4597090826380067e-06,2.659029708329816e-07,4.1771699137844635e-06,True
2.52,1.627633346900267e-07,2.0,4.3082968165277295e-09,1.452911961413704e-07,5.838836330552027e-07,3.985528521751893e-08,1.6708679655137853e-06,True
2.52,6.51053338760107e-08,5.0,6.020990037383666e-10,2.0304934449520803e-08,2.335534532220811e-07,5.569910464645477e-09,6.683471862055143e-07,True
2.52,4.069083367250667e-08,8.0,3.3583857370278617e-10,1.1325679302433809e-08,1.459709082638007e-07,3.106782729226369e-09,4.1771699137844643e-07,True
2.52,3.2552666938005344e-08,10.0,2.8742193409984056e-10,9.692896840911792e-09,1.1677672661104057e-07,2.658889034147944e-09,3.3417359310275716e-07,True
2.52,1.6276333469002672e-08,20.0,2.28658777320214e-10,7.711192770569713e-09,5.8388363305520284e-08,2.115281554563622e-09,1.6708679655137858e-07,True
2.52,6.510533387601068e-09,50.0,3.3961767426111915e-10,1.1453124105761272e-08,2.3355345322208108e-08,3.141742514271874e-09,6.683471862055142e-08,True
2.52,4.069083367250667e-09,80.0,4.74849928915129e-10,1.6013639982986944e-08,1.4597090826380068e-08,4.3927519756366015e-09,4.177169913784464e-08,True
2.52,3.255266693800534e-09,100.0,5.671741034362925e-10,1.9127141749505288e-08,1.1677672661104054e-08,5.2468264428128285e-09,3.341735931027571e-08,True
2.54,3.19020011125316e-06,0.1,3.549366128819847e-07,1.211934695203372e-05,1.1441727572147682e-05,3.3248472850333657e-06,3.243490894961659e-05,True
2.54,1.5951000556265798e-06,0.2,2.405769243269676e-07,8.214523688885037e-06,5.720863786073841e-06,2.253589809164471e-06,1.6217454474808296e-05,True
2.54,6.380400222506321e-07,0.5,1.1193441203275769e-07,3.822011948223398e-06,2.2883455144295367e-06,1.0485388445194411e-06,6.486981789923319e-06,True
2.54,3.190200111253161e-07,1.0,3.250565317133337e-08,1.109908852420504e-06,1.1441727572147683e-06,3.0449474292718004e-07,3.2434908949616595e-06,True
2.54,3.98775013906645e-07,0.8,4.846915164767101e-08,1.654984140743393e-06,1.4302159465184603e-06,4.540318508003912e-07,4.054363618702074e-06,True
2.54,1.5951000556265804e-07,2.0,6.7483905062505645e-09,2.3042448410430603e-07,5.720863786073842e-07,6.321514050316496e-08,1.6217454474808298e-06,True
2.54,6.38040022250632e-08,5.0,1.1633431654009235e-09,3.972247137676608e-08,2.288345514429537e-07,1.0897546842628656e-08,6.486981789923319e-07,True
2.54,3.98775013906645e-08,8.0,5.827159526484369e-10,1.9896895807081463e-08,1.4302159465184604e-07,5.4585564937280225e-09,4.0543636187020744e-07,True
2.54,3.19020011125316e-08,10.0,4.775697163203997e-10,1.6306666812633614e-08,1.1441727572147685e-07,4.473605475155614e-09,3.2434908949616595e-07,True
2.54,1.59510005562658e-08,20.0,3.55680868788471e-10,1.2144759646087933e-08,5.7208637860738417e-08,3.331819057288581e-09,1.6217454474808298e-07,True
2.54,6.3804002225063214e-09,50.0,5.207846046197524e-10,1.7782243593909143e-08,2.2883455144295368e-08,4.878418331368047e-09,6.486981789923319e-08,True
2.54,3.98775013906645e-09,80.0,7.25551896702405e-10,2.4774043726974694e-08,1.4302159465184604e-08,6.796563573180596e-09,4.0543636187020744e-08,True
2.54,3.1902001112531603e-09,100.0,8.65604224233427e-10,2.9556144775965883e-08,1.1441727572147684e-08,8.108495292968971e-09,3.2434908949616594e-08,True
2.56,3.129650901771019e-06,0.1,4.298412762162989e-07,1.484590140718739e-05,1.1205782483191316e-05,4.07791939740277e-06,3.1464187505293514e-05,True
2.56,1.5648254508855094e-06,0.2,1.670204876367259e-07,5.768570469224686e-06,5.602891241595657e-06,1.584529276231588e-06,1.5732093752646757e-05,True
2.56,6.259301803542038e-07,0.5,5.88716976279996e-08,2.033316638068108e-06,2.241156496638263e-06,5.585178785725628e-07,6.2928375010587025e-06,True
2.56,3.129650901771019e-07,1.0,2.444952756392597e-08,8.44440252135544e-07,1.1205782483191315e-06,2.319535331457934e-07,3.1464187505293512e-06,True
2.56,3.912063627213774e-07,0.8,3.2289544289809484e-08,1.115219541569343e-06,1.4007228103989143e-06,3.063320492433367e-07,3.933023438161689e-06,True
2.56,1.5648254508855094e-07,2.0,7.181976354383871e-09,2.480518246281233e-07,5.602891241595658e-07,6.81356638083597e-08,1.5732093752646756e-06,True
2.56,6.25930180354204e-08,5.0,1.0923712521121275e-09,3.772842862289909e-08,2.241156496638263e-07,1.0363364722357685e-08,6.292837501058702e-07,True
2.56,3.9120636272137736e-08,8.0,5.925944941359381e-10,2.0467088483976152e-08,1.4007228103989144e-07,5.621964934830966e-09,3.933023438161689e-07,True
2.56,3.129650901771019e-08,10.0,5.0116328453756e-10,1.7309228133323452e-08,1.1205782483191316e-07,4.754553814076699e-09,3.1464187505293515e-07,True
2.56,1.5648254508855096e-08,20.0,4.07972334844216e-10,1.4090589701556473e-08,5.6028912415956576e-08,3.870447976773066e-09,1.5732093752646755e-07,True
2.56,6.259301803542039e-09,50.0,6.104771696154003e-10,2.108472213563884e-08,2.241156496638263e-08,5.791618509883312e-09,6.292837501058703e-08,True
2.56,3.912063627213774e-09,80.0,8.53886049410605e-10,2.9491602607618323e-08,1.4007228103989144e-08,8.100847165526567e-09,3.933023438161689e-08,True
2.56,3.1296509017710195e-09,100.0,1.0201600789187263e-09,3.523439183061321e-08,1.1205782483191316e-08,9.678294767078652e-09,3.1464187505293514e-08,True
2.58,3.0691016922888782e-06,0.1,5.246274402458916e-07,1.833061475533562e-05,1.0979921246042324e-05,5.039247094610179e-06,3.0533329270563235e-05,True
2.58,1.5345508461444391e-06,0.2,2.096573775556339e-07,7.325481520343273e-06,5.489960623021161e-06,2.013839249841052e-06,1.5266664635281614e-05,True
2.58,6.138203384577757e-07,0.5,5.3080012926711073e-08,1.8546290062748867e-06,2.1959842492084647e-06,5.098538132077703e-07,6.106665854112646e-06,True
2.58,3.0691016922888785e-07,1.0,1.6375425434906872e-08,5.721614846553059e-07,1.0979921246042324e-06,1.572922205654802e-07,3.053332927056323e-06,True
2.58,3.836377115361098e-07,0.8,2.4252770615259506e-08,8.473979071500301e-07,1.3724901557552903e-06,2.32957132020985e-07,3.816666158820404e-06,True
