mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
1.14,3.726,3.888,,,nevtULup
1.14,1.017,1.0139999999999998,,,nevtULdown
1.14,5.715000000000002,5.952000000000001,,,nevtULupup
1.14,0.5579999999999999,0.5670000000000001,,,nevtULdowndown
1.14,1.9170000000000005,1.971,,,nevtULobs
1.14,1.9724637392187648e-05,0.0003912483439954404,,,BRbrUL
1.14,3.8885713716027066e-05,0.0007753178192937168,,,BRbrULup
1.14,1.0613733453891446e-05,0.0002022048016367872,,,BRbrULdown
1.14,5.964354640018645e-05,0.0011869062912644552,,,BRbrULupup
1.14,5.82346437293159e-06,0.0001130671819803337,,,BRbrULdowndown
1.14,2.0006417926361752e-05,0.0003930430611697314,,,BRbrULobs
1.14,-33.5118,-29.4426,,,Significance
1.14,0.0,0.0,0.0,0.0,posSignificance
1.15,0.9261935105599088,18.334036048000048,,,xsecBRbrUL
1.15,1.89,1.962,,,nevtUL
1.15,3.726,3.873,,,nevtULup
1.15,1.0169999999999997,1.0139999999999998,,,nevtULdown
1.15,5.714999999999999,5.952000000000001,,,nevtULupup
1.15,0.5579999999999999,0.5670000000000001,,,nevtULdowndown
1.15,1.917,1.968,,,nevtULobs
1.15,1.9053284782155145e-05,0.00037716050268768084,,,BRbrUL
1.15,3.756218999910585e-05,0.0007445171390975474,,,BRbrULup
1.15,1.0252481811350143e-05,0.00019492392952360262,,,BRbrULdown
1.15,5.761350398413578e-05,0.001144168864422567,,,BRbrULupup
1.15,5.6252555071124705e-06,0.00010899592508864173,,,BRbrULdowndown
1.15,1.9325474564757356e-05,0.00037831389872036497,,,BRbrULobs
1.15,-33.455999999999996,-29.2357,,,Significance
1.15,0.0,0.0,0.0,0.0,posSignificance
1.16,0.8957070065636885,17.696819338167533,,,xsecBRbrUL
1.16,1.89,1.962,,,nevtUL
1.16,3.7260000000000004,3.873,,,nevtULup
1.16,1.0170000000000001,1.0139999999999998,,,nevtULdown
1.16,5.715,5.952000000000001,,,nevtULupup
1.16,0.5579999999999999,0.5670000000000001,,,nevtULdowndown
1.16,1.9169999999999998,1.968,,,nevtULobs
1.16,1.8426128538854375e-05,0.00036405193379580067,,,BRbrUL
1.16,3.632579626231292e-05,0.0007186407439302428,,,BRbrULup
1.16,9.915012023288307e-06,0.00018814916456113244,,,BRbrULdown
1.16,5.571710296272633e-05,0.0011044021967138663,,,BRbrULupup
1.16,5.4400950924236725e-06,0.00010520766894098828,,,BRbrULdowndown
1.16,1.8689358946552294e-05,0.00036516524246184295,,,BRbrULobs
1.16,-33.4002,-29.0298,,,Significance
1.16,0.0,0.0,0.0,0.0,posSignificance
1.17,0.8671635282641905,17.10240898809132,,,xsecBRbrUL
1.17,1.8900000000000003,1.962,,,nevtUL
1.17,3.726,3.873,,,nevtULup
1.17,1.017,1.0139999999999998,,,nevtULdown
1.17,5.715000000000002,5.952000000000001,,,nevtULupup
1.17,0.5579999999999999,0.5670000000000001,,,nevtULdowndown
1.17,1.9170000000000005,1.968,,,nevtULobs
1.17,1.7838943447927937e-05,0.00035182396032337163,,,BRbrUL
1.17,3.5168202797343655e-05,0.0006945026495068392,,,BRbrULup
1.17,9.59905052198027e-06,0.00018182950854632964,,,BRbrULdown
1.17,5.3941567092544e-05,0.0010673069377394027,,,BRbrULupup
1.17,5.266735684626343e-06,0.00010167389679069912,,,BRbrULdowndown
1.17,1.8093785497184052e-05,0.00035289987457512515,,,BRbrULobs
1.17,-33.3445,-28.8247,,,Significance
1.17,0.0,0.0,0.0,0.0,posSignificance
1.18,0.8403830572160317,16.546631761134748,,,xsecBRbrUL
1.18,1.89,1.962,,,nevtUL
1.18,3.7260000000000004,3.855,,,nevtULup
1.18,1.0170000000000001,1.014,,,nevtULdown
1.18,5.715,5.952000000000001,,,nevtULupup
1.18,0.5579999999999999,0.5670000000000001,,,nevtULdowndown
1.18,1.9169999999999998,1.9650000000000003,,,nevtULobs
1.18,1.7288026241466012e-05,0.0003403907321049635,,,BRbrUL
1.18,3.408210887603299e-05,0.0006688105363224434,,,BRbrULup
1.18,9.302604596598377e-06,0.00017592059243345205,,,BRbrULdown
1.18,5.2275698396813895e-05,0.001032622649076831,,,BRbrULupup
1.18,5.104083937956632e-06,9.83697987275812e-05,,,BRbrULdowndown
1.18,1.7534998044915527e-05,0.00034091120723050625,,,BRbrULobs
1.18,-33.2889,-28.6205,,,Significance
1.18,0.0,0.0,0.0,0.0,posSignificance
1.19,0.8152071466998816,16.025839817744874,,,xsecBRbrUL
