,mass,eps,ctau,BRbrUL,BRbrULobs,BRbrULup,BRbrULupup,BRbrULdown,BRbrULdowndown
586,1.14,5.443328477922626e-08,8000.0,0.5959910801118378,0.5788923872990632,1.199395579485158,1.807535101483554,0.3288927583973238,0.2118563910886273
587,1.14,4.868661000198182e-08,10000.0,0.7433046532930706,0.7227550623244915,1.4958551312599573,2.2543110069217334,0.4139445182190244,0.2642218089849656
588,1.15,1.5396057915859747e-05,0.1,0.0003157507083782,0.0003795113702144,0.0006077255259976,0.0009573558038479,0.0001648404433445,9.372774295542478e-05
589,1.15,1.0886656955845251e-05,0.2,0.0001793142831888,0.0002063520933542,0.0003437029844244,0.0005436583997987,9.36106439570734e-05,5.321680708347388e-05
590,1.15,6.885326417077226e-06,0.5,0.0001177836577248,0.0001408228245622,0.0002126035221134,0.0003569940257279,6.462021494631917e-05,3.7711875052264805e-05
591,1.15,5.4433284779226255e-06,0.8,0.0001019059762199,0.0001237951503235,0.0001799138791635,0.0003017783991132,5.880595760363311e-05,3.623845390924862e-05
592,1.15,4.868661000198182e-06,1.0,9.640580009468125e-05,0.0001175512822032,0.0001694113332525,0.0002854227624023,5.6369620705675e-05,3.5389122852782305e-05
593,1.15,3.442663208538613e-06,2.0,0.0001017490971985,0.0001244708454836,0.0001780055011992,0.0003022177251576,6.107162587843076e-05,3.975382301584481e-05
594,1.15,2.1773313911690504e-06,5.0,0.0001667557185786,0.0002050418123898,0.0002930350122349,0.000505407728752,0.0001010010846075,6.774381222516242e-05
595,1.15,1.7213316042693065e-06,8.0,0.0002346837828117,0.0002886221179059,0.0004124419798613,0.0007113013051125,0.000142146141334,9.5357069074399e-05
596,1.15,1.5396057915859746e-06,10.0,0.0002889077061687,0.0003562513977905,0.0005100222179196,0.000875672310536,0.0001757555932435,0.0001185052825868
597,1.15,1.0886656955845252e-06,20.0,0.00054743114163,0.0006758880585136,0.0009751117210285,0.001659247905002,0.0003316051920978,0.0002223939012872
598,1.15,6.885326417077227e-07,50.0,0.0013090435616448,0.0016200541926222,0.0023422470254778,0.0039680095245301,0.0007964008164459,0.0005369490822557
599,1.15,5.443328477922626e-07,80.0,0.0020753159209152,0.0025657549063052,0.0037133237465243,0.0062907557715292,0.0012576256839643,0.0008512619532126
600,1.15,4.868661000198181e-07,100.0,0.0026028949026346,0.0032255796093366,0.0046573902916477,0.0078898886199476,0.0015832942132982,0.0010676675789766
601,1.15,3.4426632085386135e-07,200.0,0.0045020894135063,0.0053796476038399,0.0082707636968857,0.013647871334907,0.0026822039044641,0.0017938508594013
602,1.15,2.1773313911690504e-07,500.0,0.0111794685251845,0.0133600183266314,0.0205389132494514,0.0338910253041414,0.0066618247378504,0.0044543936118026
603,1.15,1.7213316042693067e-07,800.0,0.0178667469554482,0.0213390114981337,0.0328247773980647,0.0541637888961984,0.0106467616581759,0.0071189004488681
604,1.15,1.5396057915859746e-07,1000.0,0.0223233688912261,0.0266554285968502,0.0410124806970489,0.0676742242497383,0.0133024544750687,0.0088946152993753
605,1.15,1.0886656955845252e-07,2000.0,0.1440024090340479,0.2178084437442985,0.2898007865746127,0.4367334600140304,0.0798615206286055,0.0517522503851593
606,1.15,6.885326417077228e-08,5000.0,0.3597908806155081,0.5432837883223745,0.7240693994998474,1.0911876370264306,0.1994571290894298,0.1278903338776426
607,1.15,5.443328477922626e-08,8000.0,0.5755370618939335,0.8676577238172699,1.1582533802771886,1.7455212534281832,0.3176234455961874,0.2045853483231462
608,1.15,4.868661000198182e-08,10000.0,0.7178212298631642,1.0833011190234478,1.4445965707017523,2.1770487008515573,0.3961462561610825,0.2551629009990132
609,1.16,1.4642852715040728e-05,0.1,0.000314529969104,0.0003266289141434,0.0006053732711592,0.0009536865621514,0.0001642303983334,9.33834067826277e-05
610,1.16,1.0354060450721146e-05,0.2,0.0001789896597837,0.0001857157234677,0.0003430586193426,0.0005426964134926,9.345997660516372e-05,5.313296595812105e-05
611,1.16,6.548482811069684e-06,0.5,0.0001173480211008,0.0001489350070228,0.0002127821032708,0.0003557088517245,6.43706374511377e-05,3.7595244491214426e-05
612,1.16,5.177030225360573e-06,0.8,0.0001016114042258,0.0001351022745946,0.0001793599162722,0.0003018837032322,5.862196397643293e-05,3.610491821065075e-05
613,1.16,4.630476602190919e-06,1.0,9.613105954586052e-05,0.0001282020172837,0.0001689452237976,0.0002846297499234,5.620598970894142e-05,3.528896200066482e-05
614,1.16,3.274241405534842e-06,2.0,0.0001007677125602,0.0001353448688308,0.0001770935834391,0.0003013518085133,6.048258128613946e-05,3.93703916901912e-05
615,1.16,2.070812090144229e-06,5.0,0.0001650007774874,0.0002231192660595,0.0002899511048971,0.0005000888059673,9.993814682557103e-05,6.703087475731484e-05
616,1.16,1.637120702767421e-06,8.0,0.000232125097412,0.0003166821087261,0.000407945251287,0.0007035462048564,0.0001405963654948,9.431742015841353e-05
617,1.16,1.4642852715040728e-06,10.0,0.0002857173144194,0.0003900627325002,0.0005043900709009,0.0008660023098578,0.0001738147339912,0.0001171966353347
618,1.16,1.0354060450721146e-06,20.0,0.0005393819946057,0.0007348211896294,0.0009608213398594,0.0016349733739679,0.000328096378364,0.0002212462238645
619,1.16,6.548482811069685e-07,50.0,0.0012931662327436,0.0017657567338926,0.0023036513112204,0.0039198817202692,0.0007807384260706,0.000530436451636
620,1.16,5.177030225360573e-07,80.0,0.0020500477440191,0.0027983771709047,0.0036519629526316,0.006214162165687,0.001237699383504,0.0008408973444309
621,1.16,4.630476602190919e-07,100.0,0.0025711521450255,0.0035142916140038,0.0046005926042076,0.0077936700512406,0.0015639856640418,0.0010546471865157
622,1.16,3.2742414055348424e-07,200.0,0.0044456672343199,0.0061208097395855,0.0081675773276635,0.0134772257189785,0.002649164930437,0.001771350014014
623,1.16,2.0708120901442292e-07,500.0,0.0110407648116912,0.0151698949788206,0.020282375068194,0.0334683459204493,0.0065781099097879,0.0043984553050688
624,1.16,1.6371207027674212e-07,800.0,0.0176450895663778,0.0242316554065007,0.0324148128142522,0.0534883200101773,0.0105129798990715,0.0070295073878819
625,1.16,1.4642852715040727e-07,1000.0,0.0220464537676302,0.030269709108556,0.0405003142323237,0.0668303648885732,0.0131353215540795,0.0087829369781979
626,1.16,1.0354060450721146e-07,2000.0,0.1389486595658632,0.268425408401742,0.2796290582151579,0.4214034947313501,0.0766762582008507,0.0493896666970533
627,1.16,6.548482811069685e-08,5000.0,0.3472113506799561,0.6695927474586766,0.6987504574095995,1.0530290191471257,0.1916161348598885,0.1234211910466354
628,1.16,5.177030225360573e-08,8000.0,0.5554901413186684,1.069456778808321,1.1179047393474917,1.6847110230079232,0.3065582462317908,0.1974631983989812
629,1.16,4.630476602190919e-08,10000.0,0.6928428705074232,1.3353150847385185,1.394322366774539,2.101279454546963,0.3823590726430366,0.2462887439794228
630,1.17,1.4642852715040728e-05,0.1,0.0003071635038716,0.0002913112600715,0.0005936391988582,0.0009313298353528,0.0001603725672506,9.120296234052526e-05
631,1.17,1.0354060450721146e-05,0.2,0.0001756802250395,0.0001666858617427,0.000336737356203,0.0005326403916228,9.171349155245504e-05,5.21382930464289e-05
632,1.17,6.548482811069684e-06,0.5,0.0001164608230222,0.0001272519887687,0.000212078435493,0.0003530041616802,6.388468671391383e-05,3.730097018313366e-05
633,1.17,5.177030225360573e-06,0.8,0.0001018782894193,0.000120162169172,0.000179872461791,0.0003016968018496,5.853398706847226e-05,3.5826175571397826e-05
634,1.17,4.630476602190919e-06,1.0,9.654720034288922e-05,0.0001157542745182,0.0001696579988168,0.0002858432876223,5.64628716291004e-05,3.545092512590464e-05
635,1.17,3.274241405534842e-06,2.0,0.0001022243928891,0.0001239903917987,0.0001780263791416,0.0003036050030333,6.0858166105596426e-05,3.9922379426328384e-05
636,1.17,2.070812090144229e-06,5.0,0.0001677634508068,0.00020574186943,0.0002948232807356,0.0005084791375137,0.0001016173416778,6.815185798859397e-05
637,1.17,1.637120702767421e-06,8.0,0.0002364425240039,0.0002911118830202,0.0004155002151446,0.0007165579300864,0.0001432003497392,9.605579776887372e-05
638,1.17,1.4642852715040728e-06,10.0,0.0002909014953224,0.0003586391330422,0.0005135078415034,0.0008816644909566,0.0001769302318572,0.0001193074442143
639,1.17,1.0354060450721146e-06,20.0,0.0005485166263493,0.0006743715857203,0.0009770475623893,0.001662489035327,0.0003336568019687,0.0002249638825119
640,1.17,6.548482811069685e-07,50.0,0.0013151014048371,0.0016182695255329,0.0023424348415952,0.0039859534545576,0.0007999125783507,0.0005393634846636
